data,pais,variavel,valor
1960-01-01 00:00:00,Australia,"Inflação (%, anual)",3.72881355932203
1961-01-01 00:00:00,Australia,"Inflação (%, anual)",2.28758169934641
1962-01-01 00:00:00,Australia,"Inflação (%, anual)",-0.319488817891379
1963-01-01 00:00:00,Australia,"Inflação (%, anual)",0.641025641025652
1964-01-01 00:00:00,Australia,"Inflação (%, anual)",2.86624203821656
1965-01-01 00:00:00,Australia,"Inflação (%, anual)",3.40557275541795
1966-01-01 00:00:00,Australia,"Inflação (%, anual)",3.29341317365269
1967-01-01 00:00:00,Australia,"Inflação (%, anual)",3.47826086956522
1968-01-01 00:00:00,Australia,"Inflação (%, anual)",2.52100840336134
1969-01-01 00:00:00,Australia,"Inflação (%, anual)",3.27868852459016
1970-01-01 00:00:00,Australia,"Inflação (%, anual)",3.43915343915341
1971-01-01 00:00:00,Australia,"Inflação (%, anual)",6.13810741687984
1972-01-01 00:00:00,Australia,"Inflação (%, anual)",6.02409638554213
1973-01-01 00:00:00,Australia,"Inflação (%, anual)",9.09090909090915
1974-01-01 00:00:00,Australia,"Inflação (%, anual)",15.4166666666666
1975-01-01 00:00:00,Australia,"Inflação (%, anual)",15.1624548736462
1976-01-01 00:00:00,Australia,"Inflação (%, anual)",13.3228840125392
1977-01-01 00:00:00,Australia,"Inflação (%, anual)",12.3098201936376
1978-01-01 00:00:00,Australia,"Inflação (%, anual)",8.0049261083744
1979-01-01 00:00:00,Australia,"Inflação (%, anual)",9.12200684150515
1980-01-01 00:00:00,Australia,"Inflação (%, anual)",10.1358411703239
1981-01-01 00:00:00,Australia,"Inflação (%, anual)",9.48766603415561
1982-01-01 00:00:00,Australia,"Inflação (%, anual)",11.3518197573657
1983-01-01 00:00:00,Australia,"Inflação (%, anual)",10.0389105058366
1984-01-01 00:00:00,Australia,"Inflação (%, anual)",3.96039603960396
1985-01-01 00:00:00,Australia,"Inflação (%, anual)",6.734693877551
1986-01-01 00:00:00,Australia,"Inflação (%, anual)",9.05035054174634
1987-01-01 00:00:00,Australia,"Inflação (%, anual)",8.53302162478083
1988-01-01 00:00:00,Australia,"Inflação (%, anual)",7.21593968766828
1989-01-01 00:00:00,Australia,"Inflação (%, anual)",7.53390256152688
1990-01-01 00:00:00,Australia,"Inflação (%, anual)",7.33302195235872
1991-01-01 00:00:00,Australia,"Inflação (%, anual)",3.17667536988685
1992-01-01 00:00:00,Australia,"Inflação (%, anual)",1.01223112610714
1993-01-01 00:00:00,Australia,"Inflação (%, anual)",1.75365344467641
1994-01-01 00:00:00,Australia,"Inflação (%, anual)",1.96963479688141
1995-01-01 00:00:00,Australia,"Inflação (%, anual)",4.62776659959759
1996-01-01 00:00:00,Australia,"Inflação (%, anual)",2.61538461538461
1997-01-01 00:00:00,Australia,"Inflação (%, anual)",0.224887556221887
1998-01-01 00:00:00,Australia,"Inflação (%, anual)",0.860134629768142
1999-01-01 00:00:00,Australia,"Inflação (%, anual)",1.48312940304041
2000-01-01 00:00:00,Australia,"Inflação (%, anual)",4.45743514797224
2001-01-01 00:00:00,Australia,"Inflação (%, anual)",4.40713536201469
2002-01-01 00:00:00,Australia,"Inflação (%, anual)",2.98157453936348
2003-01-01 00:00:00,Australia,"Inflação (%, anual)",2.73259596616786
2004-01-01 00:00:00,Australia,"Inflação (%, anual)",2.34325522482583
2005-01-01 00:00:00,Australia,"Inflação (%, anual)",2.69183168316832
2006-01-01 00:00:00,Australia,"Inflação (%, anual)",3.55528773727026
